Date,Open,High,Low,Close,Volume,AdjClose,Notes
3/7/16,72.800003,75.730003,72.800003,74.769997,10740400,72.699723,none
3/4/16,72.089996,73.959999,71.540001,72.839996,9521500,70.823162,none
3/3/16,69.620003,72.080002,69.389999,71.75,7172700,69.763346,none
3/2/16,68.75,69.93,68.209999,69.379997,4801300,67.458965,none
3/1/16,68.440002,69.489998,67.339996,69.089996,4451600,67.176994,none
2/29/16,67.139999,68.580002,66.489998,67.699997,8643200,65.825481,none
2/26/16,67.389999,68,66.449997,66.870003,4149800,65.018468,none
2/25/16,65.889999,66.470001,64.839996,66.470001,4277200,64.629542,none
2/24/16,64.699997,65.970001,63.07,65.879997,6439200,64.055875,none
2/23/16,67.110001,67.239998,65.699997,65.779999,5599400,63.958645,none
2/22/16,65.419998,67.519997,65.419998,67.309998,5787700,65.44628,none
2/19/16,64.919998,65.519997,64.080002,65.419998,4994900,63.608612,none
2/18/16,67.150002,67.599998,65.139999,66.120003,6175500,64.289235,none
2/17/16,66,67.790001,65.720001,67.260002,7373800,65.397669,none
2/16/16,64.160004,65.550003,63.509998,65.209999,4819400,63.404428,none
2/12/16,61.990002,63.470001,61.82,63.150002,4297400,61.401469,none
2/11/16,60.91,62.310001,60.509998,61.41,7055000,59.709645,none
2/10/16,64.269997,64.379997,62,62.139999,5955400,60.419432,none
2/9/16,63.900002,64.410004,63.119999,63.93,5638500,62.15987,none
2/8/16,65.419998,65.639999,63.66,64.580002,6315500,62.791874,none
2/5/16,65.669998,66.760002,65.18,66.120003,7463700,64.289235,none
2/4/16,63.599998,66.989998,63.599998,65.959999,12598000,64.133662,none
2/3/16,61.470001,63.599998,59.799999,63.27,8332100,61.518145,none
2/2/16,61.279999,61.549999,60.48,60.669998,6282300,58.990133,none
2/1/16,61.970001,63.080002,61.380001,62.700001,5955700,60.963928,none
1/29/16,61.689999,62.290001,60.759998,62.240002,8221000,60.516665,none
1/28/16,62.009998,62.450001,58.57,61.080002,13567000,59.388784,none
1/27/16,58.43,59.889999,57.459999,58.32,11013800,56.705203,none
1/26/16,58.400002,59.66,58.09,59.16,8141900,57.521944,none
1/25/16,58.959999,59.349998,57.759998,57.91,10971500,56.306555,none
1/22/16,61.23,62.560001,60.599998,60.98,7815600,59.291551,none
1/21/16,59,60.419998,58.25,59.689999,8798300,58.037268,none
1/20/16,58.080002,59.380001,56.360001,58.810001,10857700,57.181637,none
1/19/16,60.259998,60.540001,58.48,59.029999,8501100,57.395543,none
1/15/16,59.52,60.09,58.75,59.869999,12519900,58.212285,none
1/14/16,61.240002,62.970001,60.380001,62.27,9241800,59.797152,none
1/13/16,62.07,62.759998,60.389999,60.889999,7237300,58.471953,none
1/12/16,62.439999,62.5,60.389999,61.599998,8593100,59.153757,none
1/11/16,63.669998,63.700001,60.849998,61.470001,9669400,59.028922,none
1/8/16,64.330002,64.529999,62.93,63.290001,8278500,60.776647,none
1/7/16,65.080002,65.519997,63.66,63.939999,8601500,61.400832,none
1/6/16,65.980003,66.849998,65.620003,66.220001,6639300,63.590291,none
1/5/16,68.379997,68.440002,66.419998,67.279999,6139100,64.608195,none
1/4/16,66.879997,68.080002,65.720001,67.989998,8586900,65.289999,none
